"cat","x","y","ID","SGES","BODENTYP","PH_A","PH_B","Ausgangsma","Karbonat__","field_10","Kommentare","field_12","field_13","field_14","field_15","field_16","field_17","field_18","field_19","field_20","field_21","field_22","field_23","field_24","field_25","field_26","field_27","field_28","field_29","field_30","bodenbedeckung","hoehenstufen"
"1","11.0","46.0","15581","B","(Para)Braunerde basenreich leicht","","7.1","","S","","","","","","","","","","","","","","","","","","","","","","3010300.0","21.0"
"2","11.0","46.0","l05","B","Braunerde (basenarm)","0","5.43","","S","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"3","11.0","46.0","gs04","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"4","11.0","46.0","hd02","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"5","11.0","46.0","hd03","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"6","11.0","46.0","hd04","C","","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"7","11.0","46.0","hd16","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"8","11.0","46.0","hf04","C","Pararendsina verbraunt","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"9","11.0","46.0","hg05","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"10","11.0","46.0","hg09","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"11","11.0","46.0","hh02","C","Pararendsina verbraunt","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"12","11.0","46.0","hh03","C","Pararendsina verbraunt","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"13","11.0","46.0","hh07","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"14","11.0","46.0","hp01","C","Parabraunerde karbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"15","11.0","46.0","hp02","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
"16","11.0","46.0","hp08","C","Braunerde carbonathaltig","0","0","","M","","","","","","","","","","","","","","","","","","","","","","3010300.0","30.0"
