"NUMEROGIS"	"Genese"	"x1"	"x2"	"Genese-neu"	"ausgangssubstrat"	"Chemie-neu"	"passendste Genese"	"passendste Substratgruppe"	"bessersubstrat"	"bs2"	"chemie_gg_code"	"grund_fuer_substrat"	"grossgruppe"	"Lithologie"	"metamorphie"	"geomorphologie"	"Textur"	"Festgestein"
190	"Ki"	"XXX"		"Keg"	"Ki"		"Ki"		"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
191	"Mo"	"XXX"		"Mo"	"Mo"		"Mo"		"x"	1			2	"Moraene undifferenziert"		"Moraene undifferenziert"		
192	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"	"SiSr"			1		3	"Rhyolithe"		"silikatisches Festgestein"		1
193	"Ha"	"XXX"		"Ha"	"Ha"		"Ha"		"x"	1			1	"Hangschutt"		"Hangschutt"		
194	"Sa"	"XXX"		"Keg"	"Ki"		"Ki"		"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
195	"Sa"	"XXX"		"Alluv"	"Ki"		"Ki"		"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Sand"	
197	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"	"SiSr"			1		4	"Granodiorite"		"silikatisches Festgestein"		1
198	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"	"SiSr"			1		3	"Rhyodazite"		"silikatisches Festgestein"		1
200	"Ko"	"XXX"		"Ko"	"Ha"		"Ha"		"x"	1			1	"Kolluvium"		"Kolluvium"		
360	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"	"SiSr"			1		3	"Rhyolithe"		"silikatisches Festgestein"		1
361	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"	"SiSr"			1		3	"Rhyodazite"		"silikatisches Festgestein"		1
362	"Bl"	"XXX"		"Bl"	"Bl"		"Bl"		"x"	1			1	"Blockschutt"		"Blockschutt"		
363	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Si"	"SiSr"			1		3	"Rhyodazite"		"silikatisches Festgestein"		1
364	"Kl"	"KlSi"	"I"	"Sed"	"Kl"	"I"	"Kl"	"KlSi"			1		5	"Pelite, Siltite und Sandsteine"		"silikatisches Sedimentgestein"		1
365	"lakustrin"	"XXX"		"Alluv"	"Ki"		"To"	"To"	"x"	1			1	"Lakustrine Ablagerung"		"Lakustrine Ablagerung"		
366	"Ha"	"XXX"		"Keg"	"Ki"		"Ki"		"x"	1			1	"Sturzschuttfächer"		"Sturzschuttfaecher"		
367	"Anthr"	"XXX"		"Anthr"	"Anthr"		"Anthr"						1	"Anthropogen"		"Anthropogen"		
368	"Anthr"	"XXX"		"Anthr"	"Anthr"		"Anthr"						1	"Anthropogen"		"Anthropogen"		
371	"Misch"	"XXX"		"Keg"	"Ki"				"x"	1			1	"gemischte Kegel"		"gemischte Kegel"		
372	"Ka"	"Do"	"K"	"KaDo"	"KaDo"	"K"	"KaDo"	"Ka"			4		6	"Kalke"		"karbonatisches Festgestein"		1
374	"Ka"	"Ka+"	"K"	"KaDo"	"KaDo"	"K"	"KaDo"	"Ka+"			4		6	"Kalke"		"karbonatisches Festgestein"		1
375	"Kl"	"KlSi"	"I"	"Sed"	"Kl"	"M"	"Kl"	"KlM+"			3		6	"Pelite, Siltite und Sandsteine"		"silikatisches Sedimentgestein"		1
376	"Ka"	"Ka+"	"K"	"KaDo"	"KaDo"	"K"	"KaDo"	"Ka+"			4		6	"Kalke"		"karbonatisches Festgestein"		1
377	"Do"	"Do"	"K"	"Kl"	"Kl"	"C"	"Kl"	"KlK+"			3		6	"Dolomite"		"karbonatisches Festgestein"		1
378	"Kl"	"KlM+"	"M"	"Sed"	"Kl"	"C"	"Kl"	"KlK+"			3		6	"Pelite, Siltite und Sandsteine"		"silikatisches Sedimentgestein"		1
379	"Ka"	"Ka+"	"K"	"KaDo"	"KaDo"	"K"	"KaDo"	"Ka+"			4		6	"Kalke"		"karbonatisches Festgestein"		1
380	"Ka"	"KA+"	"K"	"KaDo"	"KaDo"	"K"	"KaDo"	"Ka"			4		6	"Kalke"		"karbonatisches Festgestein"		1
381	"Sa U"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Sand Silt Torf"	
382	"U Org"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Silt Torf"	
383	"U"			"Alluv"	"Ki"		"Ki"		"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Silt"	
385	"Sa U"			"Alluv"	"Ki"		"Ki"		"x"	1			1	"Alluviale Ablagerung"		"Alluviale Ablagerung"	"Sand Silt"	
386	"To U Org"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Ton Silt Torf"	
387	"To Org"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Ton Torf"	
388	"Sa U"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Sand Silt"	
389	"Org"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Torn"	
390	"U"			"OrgSub"	"Org"	"O"	"OrgSub"	"Org"			5		1	"Moorablagerung"		"Moorablagerung"	"Silt"	
548	"Do"	"Do+"	"K"	"KaDo"	"KaDo"	"K"	"KaDo"	"Ka+"			4		6	"Dolomite"		"karbonatisches Festgestein"		1
549	"Ca"	"CaSi"	"C"	"Si"	"Si"	"M"	"Si"	"SiSr"			3		49	"Schiefer"	1	"silikatisches Festgestein"		1
550	"Si"	"SiKa"	"M"	"Si"	"Si"	"S"	"Si"				1		49	"Metabasite"	1	"silikatisches Festgestein"		1
551	"Si"	"SiIn"	"I"	"Si"	"Si"	"M"	"Si"	"SiKa"			3		50	"Gneise"	1	"silikatisches Festgestein"		1
552	"Si"	"SiSr"	"S"	"Si"	"Si"	"S"	"Ha"	"HaMi"			1		50	"Gneise"	1	"silikatisches Festgestein"		1
553	"Si"	"SiIn"	"I"	"Si"	"Si"	"S"	"Ha"	"HaS-"			1		50	"Gneise"	1	"silikatisches Festgestein"		1
555	"Si"	"SiBa"	"B"	"Si"	"Si"	"M"	"Ha"	"HaMi"			3		50	"Amphibolite"	1	"silikatisches Festgestein"		1
556	"Ca"	"CaSi"	"C"	"Ca"	"Ca"	"C"	"Ha"	"HaCa"	"x"		3		51	"Marmore"	1	"karbonatisches Festgestein"		1
557	"Si"	"SiSr"	"S"	"Si"	"Si"	"M"	"Si"	"SiKa"	"m"		3		51	"Schiefer"	1	"silikatisches Festgestein"		1
