"IDENT"	"AGM_wlm"	"geomorphologie_kart_wlm"
"v03a"	""	"Alluvialer Schwemmfaecher"
"v03a"	""	"Anthropogen"
"v03a"	""	"See"
"v03a"	""	"Moraene undifferenziert"
"v03a"	""	"Hangschutt"
"v03a"	""	"Alluviale Ablagerung"
"v03a"	""	"Rutschmasse"
"v03a"	""	"Blockschutt"
"hh13"	""	"Alluvialer Schwemmfaecher"
"hh13"	""	"Anthropogen"
"hh13"	""	"See"
"hh13"	""	"Moraene undifferenziert"
"hh13"	""	"Hangschutt"
"hh13"	""	"Alluviale Ablagerung"
"hh13"	""	"Rutschmasse"
"hh13"	""	"Blockschutt"
"hk03"	""	"Alluvialer Schwemmfaecher"
"hk03"	""	"Anthropogen"
"hk03"	""	"See"
"hk03"	""	"Moraene undifferenziert"
"hk03"	""	"Hangschutt"
"hk03"	""	"Alluviale Ablagerung"
"hk03"	""	"Rutschmasse"
"hk03"	""	"Blockschutt"
"p02a"	""	"Alluvialer Schwemmfaecher"
"p02a"	""	"Anthropogen"
"p02a"	""	"See"
"p02a"	""	"Moraene undifferenziert"
"p02a"	""	"Hangschutt"
"p02a"	""	"Alluviale Ablagerung"
"p02a"	""	"Rutschmasse"
"p02a"	""	"Blockschutt"
"v14"	"BlKa"	"Blockschutt"
"v16"	"BlKa"	"Blockschutt"
"v15"	"BlKa"	"Blockschutt"
"k07"	"BlSi"	"Blockschutt"
"hk02"	"BlSi"	"Blockschutt"
"hk04"	"BlSi"	"Blockschutt"
"v23"	"BlSi"	"Blockschutt"
"12750"	"BlSi"	"Blockschutt"
"hq08"	"Do"	"karbonatisches Festgestein"
"15450"	"Do"	"karbonatisches Festgestein"
"hq05"	"Do-"	"karbonatisches Festgestein"
"hh14"	"Do-"	"karbonatisches Festgestein"
"hg01"	"HaC-"	"Hangschutt"
"v17"	"HaC-"	"Hangschutt"
"14101"	"HaC+"	"Hangschutt"
"16753"	"HaC+"	"Hangschutt"
"nb05"	"HaC+"	"Hangschutt"
"v05"	"HaC+"	"Hangschutt"
"14175"	"HaC+"	"Hangschutt"
"na05"	"HaC+"	"Hangschutt"
"na03"	"HaC+"	"Hangschutt"
"nb04"	"HaC+"	"Hangschutt"
"15476"	"HaC+"	"Hangschutt"
"nf01"	"HaCa"	"Hangschutt"
"nf06"	"HaCa"	"Hangschutt"
"lf01"	"HaCa"	"Hangschutt"
"lf02"	"HaCa"	"Hangschutt"
"bd05"	"HaCa"	"Hangschutt"
"k03"	"HaCa"	"Hangschutt"
"hd09"	"HaK-"	"Hangschutt"
"hq01"	"HaK-"	"Hangschutt"
"hp06"	"HaK-"	"Hangschutt"
"hh01"	"HaK-"	"Hangschutt"
"hd07"	"HaK-"	"Hangschutt"
"hd06"	"HaK-"	"Hangschutt"
"bd14"	"HaK-"	"Hangschutt"
"bd01"	"HaK-"	"Hangschutt"
"hg04"	"HaK-"	"Hangschutt"
"bd07"	"HaK-"	"Hangschutt"
"16251"	"HaK-"	"Hangschutt"
"bd11"	"HaK-"	"Hangschutt"
"f08"	"HaK-"	"Hangschutt"
"hp08"	"HaK-"	"Hangschutt"
"15452"	"HaK-"	"Hangschutt"
"hh12"	"HaK-"	"Hangschutt"
"hg07"	"HaK-"	"Hangschutt"
"lf09"	"HaK-"	"Hangschutt"
"hq03"	"HaK-"	"Hangschutt"
