ID	geomorphologie_beschreibung	Lithologie	geologie_text	BODENTYP_orig	KLASSE	TYP	SUBTYP	VARIETÄT	VARIETÄT2	humusform_orig	gebiet1_parentmaterial_numerogis
1	Grundmoraene	Grundmoraene		rendollic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				576
10	gemischte Ablagerung	gemischte Ablagerung		typic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				642
10_U	Hangschutt	Hangschutt		Moder-Rendzina, kolluvial beeinflusst	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina	kolluvial beeinflußt		Rohhumusartiger Moder/ eher typischer Moder	193
11	gemischte Ablagerung	gemischte Ablagerung		typic eutrochrept	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	rigolt			642
11_U	karbonatisches Festgestein	Kalke		Carbonathaltige Braunerde, kolluvial gestört	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	kolluvial beeinflußt		Mull	379
12	Alluviale Ablagerung	Alluviale Ablagerung		typic udifluvent							585
12_U	karbonatisches Festgestein	Kalke	Karbonatgehalt unerschiedlich hoch	Kolluvisol, Entwicklung zur Moder-Pararendzina	UMGELAGERTE BÖDEN	Kolluvisol	carbonathaltiger Kolluvisol			Mullartiger Moder	379
13	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		typic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				643
13_U	silikatisches Festgestein	Rhyolithe		Farb-Substratboden aus Grödner-Sandstein	SUBSTRATBÖDEN	Farb-Substratboden	Farb-Substratboden	aus Grödner-Sandstein		Typischer Moder	614
14	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	wirklichrigolt?			643
14_U	Moraene undifferenziert	Moraene undifferenziert		Typische Braunerde, carbonatfrei, kolluvial gestört?	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei	kolluvial beeinflußt	Rhizomull	191
15	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	wirklichrigolt?			643
16	Moraene undifferenziert	Moraene undifferenziert		typic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				191
16_U	silikatisches Festgestein	Rhyolithe		Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Rohumusartiger Moder	614
17	Moraene undifferenziert	Moraene undifferenziert		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				191
17_U	silikatisches Festgestein	Rhyolithe		Fels-Auflagehumusboden über Silikatgestein 	TERRESTRISCHE HUMUSBÖDEN	Ranker	Carbonatfreier Fels-Auflagehumusboden			Rohhumus	614
18	Grundmoraene	Grundmoraene		arenic hapludalf	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert, wirklichrigolt?			576
18_U	gemischte Kegel	gemischte Kegel		Moder-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina			Rohhumusartiger Moder/ Typ. Moder	604
19	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert, rigolt, carbonatfrei			576
19_U	Hangschutt	Hangschutt		Kalklehm-Rendzina, kolluvial beeinflusst 	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Moder-Kalklehm-Rendzina	kolluvial beeinflußt		Mullartiger Moder	3492
1_U	silikatisches Festgestein	Rhyolithe		Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mullartiger Moder	614
2	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
20	Grundmoraene	Grundmoraene			UMGELAGERTE BÖDEN	Schüttungsboden	Planieboden				576
20_U	Alluviale Ablagerung	Alluviale Ablagerung		Carbonathaltiger Kolluvisol; Entwicklung in Richtung Braunerde	UMGELAGERTE BÖDEN	Kolluvisol	carbonathaltiger Kolluvisol			Mull	640
21	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden	lessiviert			576
21_U	silikatisches Festgestein	Rhyolithe		Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	614
22	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				576
22_U	silikatisches Festgestein	Rhyolithe		Typischer Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Typischer Ranker			Rhizomoder	614
23	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			576
23_U	silikatisches Festgestein	Rhyolithe	Feinsediment, fluviatile Sande und Kiese, Porphyrzersatz	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Moder	614
24	Grundmoraene	Grundmoraene		dystric fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				576
24_U	Moorablagerung	Moorablagerung	Feinsediment	Haftnässe-Pseudogley	PSEUDOGLEYE	Haftnässe-Pseudogley	Haftnässe-Pseudogley			Hydromorpher Mullartiger Moder	382
25	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			576
25_U	silikatisches Festgestein	Rhyolithe	metamorphe Gesteine; weit gestuftes Skelett (Moräne, Porphy, u.a), hoher Schluffgehalt (Moräne)	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	614
26	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden	lessiviert			576
26_U	silikatisches Festgestein	Rhyolithe		Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Moder	614
27	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				576
27_U	Moraene undifferenziert	Moraene undifferenziert		Moder-Pararendzina	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Moder-Pararendzina			Moder	191
28	Grundmoraene	Grundmoraene		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden	lessiviert			576
28_U	Grundmoraene	Grundmoraene	geringer Kalkgehalt, gemischte Skelettformen (kantig und gerundet), unterschiedliche Mineralogie des Skelettes?	Kolluvisol; Entwicklung Richtung Braunerde 	UMGELAGERTE BÖDEN	Kolluvisol	Kolluvisol			Mullartiger Moder	576
29	Alluviale Ablagerung	Alluviale Ablagerung		dystric eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonatfreier Rigolboden				385
29_U	silikatisches Festgestein	Rhyolithe		Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Mullartiger Moder	614
2_U	Moraene undifferenziert	Moraene undifferenziert	laut Karte: undifferenzierte Moräne, selbst kartiert: Moränenmaterial	Typische Braunerde, carbonatfrei 	BRAUNERDEN	Braunerde	Typische Braunerde	carbonatfrei		Moder	191
3	gemischte Kegel	gemischte Kegel		fluventic eutrochrept	UMGELAGERTE BÖDEN	Rigolboden	Carbonathaltiger Rigolboden				604
30	Grundmoraene	Grundmoraene		typic hapludalf	BRAUNERDEN	Braunerde	Typische Braunerde	lessiviert, rigolt, carbonatfrei			576
30_U	silikatisches Festgestein	Rhyolithe	in ersten cmtern viel großes, flaches, kantiges Skelett, nach unten hin kanten gerundeter und auch ganz rund	Podsolige Braunerde, carbonatfrei	BRAUNERDEN	Braunerde	Podsolige Braunerde	carbonatfrei		Mullartiger Moder	614
