"cat","x","y","ID","SGES","BODENTYP","PH_A","PH_B","Ausgangsma","Karbonat__"
"1","11.0","46.0","15581","B","(Para)Braunerde basenreich leicht","","7.0","","S"
"2","11.0","46.0","l05","B","Braunerde (basenarm)","0.0","5.0","","S"
"3","11.0","46.0","hd02","C","Braunerde carbonathaltig","0.0","0.0","","M"
"4","11.0","46.0","hd03","C","Braunerde carbonathaltig","0.0","0.0","","M"
"5","11.0","46.0","hd04","C","","0.0","0.0","","M"
"6","11.0","46.0","hd16","C","Braunerde carbonathaltig","0.0","0.0","","M"
"7","11.0","46.0","hf04","C","Pararendsina verbraunt","0.0","0.0","","M"
"8","11.0","46.0","hg05","C","Braunerde carbonathaltig","0.0","0.0","","M"
"9","11.0","46.0","hg09","C","Braunerde carbonathaltig","0.0","0.0","","M"
"10","11.0","46.0","hh02","C","Pararendsina verbraunt","0.0","0.0","","M"
"11","11.0","46.0","hh03","C","Pararendsina verbraunt","0.0","0.0","","M"
"12","11.0","46.0","hh07","C","Braunerde carbonathaltig","0.0","0.0","","M"
"13","11.0","46.0","lf01","C","Pararendsina verbraunt","","","","M"
"14","11.0","46.0","lf02","C","Pararendsina verbraunt","","","","M"
"15","11.0","46.0","lf06","C","Pararendsina verbraunt","","","","M"
"16","11.0","46.0","lf08","C","Braunerde carbonathaltig","","","","M"
"17","11.0","46.0","15403","C","Braunerde carbonathaltig","6.0","8.0","","M"
"18","11.0","46.0","k01","C","","0.0","0.0","","M"
"19","11.0","46.0","k03","C","Braunerde carbonathaltig","0.0","0.0","","M"
"20","11.0","46.0","k05","C","Braunerde carbonathaltig","0.0","0.0","","M"
"21","11.0","46.0","k06","C","Braunerde carbonathaltig","0.0","0.0","","M"
"22","11.0","46.0","v01","C","Braunerde carbonathaltig","0.0","0.0","","M"
"23","11.0","46.0","v03","C","Braunerde carbonathaltig","0.0","0.0","","M"
"24","11.0","46.0","v04","C","Parabraunerde","0.0","0.0","","M"
"25","11.0","46.0","v04a","C","Parabraunerde","0.0","0.0","","M"
