"AufID"	"AGM_forstdb"	"geomorphologie_kart_forstdb"
4147	""	"See"
4200	""	"See"
11071	""	"See"
11095	""	"See"
11176	""	"See"
4199	""	"See"
11028	""	"See"
11105	""	"See"
11044	""	"See"
11019	""	"See"
4165	""	"See"
11104	""	"See"
11024	""	"See"
4144	""	"See"
11106	""	"See"
11027	""	"See"
11177	""	"See"
11043	""	"See"
11020	""	"See"
11075	""	"See"
11016	""	"See"
4317	""	"See"
11080	""	"See"
11078	""	"See"
4222	""	"See"
11076	""	"See"
11073	""	"See"
11005	""	"See"
11018	""	"See"
11006	""	"See"
11074	""	"See"
11102	""	"See"
11015	""	"See"
11070	""	"See"
11042	""	"See"
11023	""	"See"
4243	""	"See"
11098	""	"See"
11041	""	"See"
11069	""	"See"
11101	""	"See"
11100	""	"See"
11099	""	"See"
11040	""	"See"
11433	"SiSr"	"silikatisches Festgestein"
12543	"SiSr"	"silikatisches Festgestein"
11981	"SiSr"	"silikatisches Festgestein"
12451	"SiSr"	"silikatisches Festgestein"
11938	"SiSr"	"silikatisches Festgestein"
11049	"SiSr"	"silikatisches Festgestein"
12501	"SiSr"	"silikatisches Festgestein"
12489	"SiSr"	"silikatisches Festgestein"
12933	"SiSr"	"silikatisches Festgestein"
12431	"SiSr"	"silikatisches Festgestein"
12447	"SiSr"	"silikatisches Festgestein"
11976	"SiSr"	"silikatisches Festgestein"
12583	"SiSr"	"silikatisches Festgestein"
11978	"SiSr"	"silikatisches Festgestein"
12449	"SiSr"	"silikatisches Festgestein"
12529	"SiSr"	"silikatisches Festgestein"
12588	"SiSr"	"silikatisches Festgestein"
12491	"SiSr"	"silikatisches Festgestein"
12970	"SiSr"	"silikatisches Festgestein"
11872	"SiSr"	"silikatisches Festgestein"
11515	"SiSr"	"silikatisches Festgestein"
11996	"SiSr"	"silikatisches Festgestein"
11979	"SiSr"	"silikatisches Festgestein"
12930	"SiSr"	"silikatisches Festgestein"
11529	"SiSr"	"silikatisches Festgestein"
11893	"SiSr"	"silikatisches Festgestein"
11048	"SiSr"	"silikatisches Festgestein"
12446	"SiSr"	"silikatisches Festgestein"
11844	"SiSr"	"silikatisches Festgestein"
11588	"SiSr"	"silikatisches Festgestein"
12442	"SiSr"	"silikatisches Festgestein"
11887	"SiSr"	"silikatisches Festgestein"
12562	"SiSr"	"silikatisches Festgestein"
11838	"SiSr"	"silikatisches Festgestein"
12469	"SiSr"	"silikatisches Festgestein"
12582	"SiSr"	"silikatisches Festgestein"
11973	"SiSr"	"silikatisches Festgestein"
12481	"SiSr"	"silikatisches Festgestein"
11974	"SiSr"	"silikatisches Festgestein"
12539	"SiSr"	"silikatisches Festgestein"
12430	"SiSr"	"silikatisches Festgestein"
11992	"SiSr"	"silikatisches Festgestein"
12966	"SiSr"	"silikatisches Festgestein"
12560	"SiSr"	"silikatisches Festgestein"
11549	"SiSr"	"silikatisches Festgestein"
12414	"SiSr"	"silikatisches Festgestein"
12538	"SiSr"	"silikatisches Festgestein"
12484	"SiSr"	"silikatisches Festgestein"
11984	"SiSr"	"silikatisches Festgestein"
12438	"SiSr"	"silikatisches Festgestein"
12589	"SiSr"	"silikatisches Festgestein"
12434	"SiSr"	"silikatisches Festgestein"
11972	"SiSr"	"silikatisches Festgestein"
12482	"SiSr"	"silikatisches Festgestein"
11565	"SiSr"	"silikatisches Festgestein"
11864	"SiSr"	"silikatisches Festgestein"
11584	"SiSr"	"silikatisches Festgestein"
12495	"SiSr"	"silikatisches Festgestein"
11620	"SiSr"	"silikatisches Festgestein"
4080	"SiS-"	"silikatisches Festgestein"
4307	"SiS-"	"silikatisches Festgestein"
4077	"SiS-"	"silikatisches Festgestein"
4064	"SiS-"	"silikatisches Festgestein"
4066	"SiS-"	"silikatisches Festgestein"
4132	"SiS-"	"silikatisches Festgestein"
4108	"SiS-"	"silikatisches Festgestein"
4309	"SiS-"	"silikatisches Festgestein"
4106	"SiS-"	"silikatisches Festgestein"
4155	"SiS-"	"silikatisches Festgestein"
4156	"SiS-"	"silikatisches Festgestein"
4190	"SiS-"	"silikatisches Festgestein"
4023	"SiS-"	"silikatisches Festgestein"
4312	"SiS-"	"silikatisches Festgestein"
4157	"SiS-"	"silikatisches Festgestein"
4113	"SiS-"	"silikatisches Festgestein"
4072	"SiS-"	"silikatisches Festgestein"
4158	"SiS-"	"silikatisches Festgestein"
4185	"SiS-"	"silikatisches Festgestein"
4133	"SiS-"	"silikatisches Festgestein"
4062	"SiS-"	"silikatisches Festgestein"
4071	"SiS-"	"silikatisches Festgestein"
4211	"SiS-"	"silikatisches Festgestein"
4131	"SiS-"	"silikatisches Festgestein"
4115	"SiS-"	"silikatisches Festgestein"
4076	"SiS-"	"silikatisches Festgestein"
4069	"SiS-"	"silikatisches Festgestein"
4107	"SiS-"	"silikatisches Festgestein"
4008	"SiS-"	"silikatisches Festgestein"
4209	"SiS-"	"silikatisches Festgestein"
4333	"SiS-"	"silikatisches Festgestein"
4073	"SiS-"	"silikatisches Festgestein"
4311	"SiS-"	"silikatisches Festgestein"
4314	"SiS-"	"silikatisches Festgestein"
4308	"SiS-"	"silikatisches Festgestein"
4182	"SiS-"	"silikatisches Festgestein"
4186	"SiS-"	"silikatisches Festgestein"
4119	"SiS-"	"silikatisches Festgestein"
4009	"SiS-"	"silikatisches Festgestein"
4164	"SiS-"	"silikatisches Festgestein"
4074	"SiS-"	"silikatisches Festgestein"
11772	"SiS-"	"silikatisches Festgestein"
4316	"SiS-"	"silikatisches Festgestein"
4061	"SiS-"	"silikatisches Festgestein"
4191	"SiS-"	"silikatisches Festgestein"
4110	"SiS-"	"silikatisches Festgestein"
4327	"SiS-"	"silikatisches Festgestein"
4052	"SiS-"	"silikatisches Festgestein"
4154	"SiS-"	"silikatisches Festgestein"
4194	"SiS-"	"silikatisches Festgestein"
4187	"SiS-"	"silikatisches Festgestein"
4065	"SiS-"	"silikatisches Festgestein"
4114	"SiS-"	"silikatisches Festgestein"
4332	"SiS-"	"silikatisches Festgestein"
4129	"SiS-"	"silikatisches Festgestein"
4109	"SiS-"	"silikatisches Festgestein"
4070	"SiS-"	"silikatisches Festgestein"
4161	"SiS-"	"silikatisches Festgestein"
4204	"SiS-"	"silikatisches Festgestein"
4063	"SiS-"	"silikatisches Festgestein"
4318	"SiS-"	"silikatisches Festgestein"
4127	"SiS-"	"silikatisches Festgestein"
4208	"SiS-"	"silikatisches Festgestein"
4116	"SiS-"	"silikatisches Festgestein"
4310	"SiS-"	"silikatisches Festgestein"
4128	"SiS-"	"silikatisches Festgestein"
4100	"SiS-"	"silikatisches Festgestein"
4068	"SiS-"	"silikatisches Festgestein"
4117	"SiS-"	"silikatisches Festgestein"
4126	"SiS-"	"silikatisches Festgestein"
4105	"SiS-"	"silikatisches Festgestein"
4313	"SiS-"	"silikatisches Festgestein"
11780	"SiS-"	"silikatisches Festgestein"
4112	"SiS-"	"silikatisches Festgestein"
4031	"SiS-"	"silikatisches Festgestein"
4075	"SiS-"	"silikatisches Festgestein"
4168	"SiS-"	"silikatisches Festgestein"
4326	"SiS-"	"silikatisches Festgestein"
4305	"SiS-"	"silikatisches Festgestein"
4125	"SiS-"	"silikatisches Festgestein"
4095	"SiS-"	"silikatisches Festgestein"
4059	"SiS-"	"silikatisches Festgestein"
4057	"SiS-"	"silikatisches Festgestein"
4111	"SiS-"	"silikatisches Festgestein"
4123	"SiS-"	"silikatisches Festgestein"
4338	"SiS-"	"silikatisches Festgestein"
4328	"SiS-"	"silikatisches Festgestein"
4122	"SiS-"	"silikatisches Festgestein"
4058	"SiS-"	"silikatisches Festgestein"
4177	"SiS-"	"silikatisches Festgestein"
4296	"SiS-"	"silikatisches Festgestein"
4124	"SiS-"	"silikatisches Festgestein"
4215	"SiS-"	"silikatisches Festgestein"
4217	"SiS-"	"silikatisches Festgestein"
4092	"SiS-"	"silikatisches Festgestein"
11614	"SiS+"	"silikatisches Festgestein"
11630	"SiS+"	"silikatisches Festgestein"
11613	"SiS+"	"silikatisches Festgestein"
11641	"SiS+"	"silikatisches Festgestein"
11629	"SiS+"	"silikatisches Festgestein"
11751	"SiS+"	"silikatisches Festgestein"
11804	"SiS+"	"silikatisches Festgestein"
11749	"SiS+"	"silikatisches Festgestein"
11801	"SiS+"	"silikatisches Festgestein"
11640	"SiS+"	"silikatisches Festgestein"
11843	"SiIn"	"silikatisches Festgestein"
11600	"SiIn"	"silikatisches Festgestein"
11639	"SiIn"	"silikatisches Festgestein"
11301	"SiIn"	"silikatisches Festgestein"
11247	"SiIn"	"silikatisches Festgestein"
4097	"SiIn"	"silikatisches Festgestein"
11209	"SiIn"	"silikatisches Festgestein"
11334	"SiIn"	"silikatisches Festgestein"
11305	"SiIn"	"silikatisches Festgestein"
11318	"SiIn"	"silikatisches Festgestein"
11842	"SiIn"	"silikatisches Festgestein"
4090	"SiIn"	"silikatisches Festgestein"
11518	"SiIn"	"silikatisches Festgestein"
12043	"SiIn"	"silikatisches Festgestein"
11522	"SiIn"	"silikatisches Festgestein"
11604	"SiIn"	"silikatisches Festgestein"
11598	"SiIn"	"silikatisches Festgestein"
11317	"SiIn"	"silikatisches Festgestein"
11528	"SiIn"	"silikatisches Festgestein"
11215	"SiIn"	"silikatisches Festgestein"
12054	"SiIn"	"silikatisches Festgestein"
12016	"SiIn"	"silikatisches Festgestein"
12138	"SiIn"	"silikatisches Festgestein"
11309	"SiIn"	"silikatisches Festgestein"
12504	"SiIn"	"silikatisches Festgestein"
12100	"SiIn"	"silikatisches Festgestein"
11846	"SiIn"	"silikatisches Festgestein"
12063	"SiIn"	"silikatisches Festgestein"
11208	"SiIn"	"silikatisches Festgestein"
11213	"SiIn"	"silikatisches Festgestein"
11239	"SiIn"	"silikatisches Festgestein"
4007	"SiIn"	"silikatisches Festgestein"
11344	"SiIn"	"silikatisches Festgestein"
4047	"SiIn"	"silikatisches Festgestein"
11542	"SiIn"	"silikatisches Festgestein"
11360	"SiIn"	"silikatisches Festgestein"
11068	"SiIn"	"silikatisches Festgestein"
4093	"SiIn"	"silikatisches Festgestein"
4094	"SiIn"	"silikatisches Festgestein"
4014	"SiIn"	"silikatisches Festgestein"
12074	"SiIn"	"silikatisches Festgestein"
12076	"SiIn"	"silikatisches Festgestein"
11353	"SiIn"	"silikatisches Festgestein"
4166	"SiIn"	"silikatisches Festgestein"
12053	"SiIn"	"silikatisches Festgestein"
12513	"SiIn"	"silikatisches Festgestein"
11595	"SiIn"	"silikatisches Festgestein"
11922	"SiIn"	"silikatisches Festgestein"
11228	"SiIn"	"silikatisches Festgestein"
12084	"SiIn"	"silikatisches Festgestein"
12003	"SiIn"	"silikatisches Festgestein"
12004	"SiIn"	"silikatisches Festgestein"
11603	"SiIn"	"silikatisches Festgestein"
11157	"SiIn"	"silikatisches Festgestein"
11002	"SiIn"	"silikatisches Festgestein"
11338	"SiIn"	"silikatisches Festgestein"
12576	"SiIn"	"silikatisches Festgestein"
11026	"SiIn"	"silikatisches Festgestein"
11120	"SiIn"	"silikatisches Festgestein"
11077	"SiIn"	"silikatisches Festgestein"
12580	"SiIn"	"silikatisches Festgestein"
11304	"SiIn"	"silikatisches Festgestein"
12095	"SiIn"	"silikatisches Festgestein"
12018	"SiIn"	"silikatisches Festgestein"
11308	"SiIn"	"silikatisches Festgestein"
12585	"SiIn"	"silikatisches Festgestein"
11206	"SiIn"	"silikatisches Festgestein"
11312	"SiIn"	"silikatisches Festgestein"
11576	"SiIn"	"silikatisches Festgestein"
4163	"SiIn"	"silikatisches Festgestein"
11170	"SiIn"	"silikatisches Festgestein"
11091	"SiIn"	"silikatisches Festgestein"
11316	"SiIn"	"silikatisches Festgestein"
12106	"SiIn"	"silikatisches Festgestein"
11622	"SiIn"	"silikatisches Festgestein"
11319	"SiIn"	"silikatisches Festgestein"
11216	"SiIn"	"silikatisches Festgestein"
11257	"SiIn"	"silikatisches Festgestein"
11322	"SiIn"	"silikatisches Festgestein"
12114	"SiIn"	"silikatisches Festgestein"
11993	"SiIn"	"silikatisches Festgestein"
11325	"SiIn"	"silikatisches Festgestein"
11326	"SiIn"	"silikatisches Festgestein"
11313	"SiIn"	"silikatisches Festgestein"
11302	"SiIn"	"silikatisches Festgestein"
11330	"SiIn"	"silikatisches Festgestein"
12932	"SiIn"	"silikatisches Festgestein"
11596	"SiIn"	"silikatisches Festgestein"
11597	"SiIn"	"silikatisches Festgestein"
11921	"SiIn"	"silikatisches Festgestein"
11555	"SiIn"	"silikatisches Festgestein"
11229	"SiIn"	"silikatisches Festgestein"
11152	"SiIn"	"silikatisches Festgestein"
11602	"SiIn"	"silikatisches Festgestein"
4149	"SiIn"	"silikatisches Festgestein"
12047	"SiIn"	"silikatisches Festgestein"
11164	"SiIn"	"silikatisches Festgestein"
11355	"SiIn"	"silikatisches Festgestein"
11169	"SiIn"	"silikatisches Festgestein"
11119	"SiIn"	"silikatisches Festgestein"
12014	"SiIn"	"silikatisches Festgestein"
11527	"SiIn"	"silikatisches Festgestein"
11346	"SiIn"	"silikatisches Festgestein"
11813	"SiIn"	"silikatisches Festgestein"
