"AD"	"CD"	"CSR"	"GD"	"IMS"	"ISR"	"LD"	"MC"	"MD"	"SB"	"SC"	"SD"	"SGT"	"SSR"	"TG"
"AD"	7	0	0	0	1	0	0	4	0	0	0	0	1	0	0
"CD"	0	3	1	0	0	0	0	3	1	1	0	0	0	0	0
"CSR"	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1
"GD"	1	0	0	5	0	0	0	0	2	2	0	0	1	0	0
"IMS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ISR"	0	1	7	0	0	0	0	2	0	1	0	4	0	2	3
"LD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MC"	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0
"MD"	0	0	1	0	0	0	0	0	0	2	0	0	3	1	3
"SB"	0	0	0	0	0	0	0	0	0	14	0	4	0	0	0
"SC"	0	0	0	0	0	0	0	0	0	1	4	3	0	0	0
"SD"	1	1	13	0	0	3	0	20	6	3	8	55	1	3	8
"SGT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SSR"	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
"TG"	3	0	12	2	0	0	0	2	2	24	2	15	40	1	48
