"gebiet1_parentmaterial_numerogis";"ID";"geomorphologie_beschreibung";"Lithologie";"geologie_text";"BODENTYP_orig";"KLASSE";"TYP";"SUBTYP";"VARIETÄT";"VARIETÄT2";"humusform_orig";"grossgruppe";"Beschreibung"
191;"17";"Moraene undifferenziert";"Moraene undifferenziert";"";"fluventic eutrochrept";"";"";"";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"51_T";"Moraene undifferenziert";"Moraene undifferenziert";"Sandstein? (ganz klein, immer rot), Gneis?, unten gelbe und rote (Tone) aus Werfener Formation";"Carbonatfreier Kolluvisol; Entwicklung zur Braunerde";"UMGELAGERTE BÖDEN";"Kolluvisol";"Carbonatfreier Kolluvisol";"";"";"Moder";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hh11";"Moraene undifferenziert";"Moraene undifferenziert";"";"Rendzina";"TERRESTRISCHE HUMUSBÖDEN";"Rendzina";"Rendzina";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"54_T";"Moraene undifferenziert";"Moraene undifferenziert";"alles --Y Rohr in 50 cm Tiefe, anthropogene veränderung";"Braunerde";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"nf01";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"hf01";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde auf Lockersediment leicht";"BRAUNERDEN";"Braunerde";"Typische Braunerde";"auf Lockersediment";"leicht";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"16302";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde basenarm podsoliert";"BRAUNERDEN";"Braunerde";"Podsolige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"12957";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"Typischer Moder";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"x10";"Moraene undifferenziert";"Moraene undifferenziert";"";"Braunerde carbonathaltig";"BRAUNERDEN";"Braunerde";"Carbonathaltige Braunerde";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
191;"58";"Moraene undifferenziert";"Moraene undifferenziert";"";"dystric eutrochrept";"";"";"";"";"";"";2;"GARDA-SYNTHEM. Glaziale Ablagerung: Till undifferenziert (OBERES PLEISTOZ�N P.P.) - Massiger, komponenten- bis matrixgest�tzter Diamikt, mehr oder weniger dicht gelagert  (Mor�ne undifferenziert)."
