substrat_code,Bez_ST,Kurz_NT,long,base_initial,Initial,x2,Reaktion,Genese,genesecode,ausgangssubstrat,chemie_gg_code,Festgestein,geomorphologie,metamorphie,Beschreibung,Boden
5,SpezUltrabas.Gesteine,SiX,UltrabasischeSilikatgesteine,B,B,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"meistultrabasische(mafischeAnteile>50%,keinQuarz),silikatischeSpezialgest.(Serpentinit,Ultrabasit,(Ophiolit),Pikritu.a.)",meistbasenreicheRankeroderPararendzinen(verbraunt)bisbasenreicheBraunerden(ofttoxischeSonderstandorte)
11,SiS-Silikatesauer-arm,SiS-,Silikatgesteineqz.reich/sauer-rueckstandsarm,S,S-,S,4,Si,9,Si,1,1,silikatisches Festgestein,,"arme/harteblockige,ueberwiegendquarzhaltigeMagmatite(Aplit,Pegmatit,Granulit),sonst10","podsoligeBraunerden,(Semi-)Podsoleoder(Podsol-)Ranker"
10,SiSrSilikatesauer,SiSr,Silikatgesteineqz.reich/sauer,S,S,S,4,Si,9,Si,1,1,silikatisches Festgestein,,"quarzreicheMagmatite(Granite,Gneise,Quarzporphyr,Quarz-Glimmerschiefer,Aplit,Pegmatit)","podsoligeBraunerden,SemipodsoleundPodsoleoder(Podsol-)Ranker"
12,SiS+Silikatesauer-reich,SiS+,Silikatgesteinesauer-rueckstandsreich,S,S+,S,4,Si,9,Si,1,1,silikatisches Festgestein,1,"Qz.reicheundsiltreicheSchiefer;Quarzitschiefer,Qz.konglomeratschiefer-sonst10",meistPodsoleundStaupodsole
21,SiI-Silikateinterm.-arm,Sil-,Silikatgest.intermediaer-rueckstandsarm,I,I,I,3,Si,9,Si,1,1,silikatisches Festgestein,1,"rueckstandsarme/harte,langsamverwitterndeSerizit-/Chlorit-/Gruenschiefer,Hornblende-Diorit-/Augit-/Cordierit-/Syenit-/Granodioritgneis-sonst20","meistBraunerdenoderRanker->Anm:mitunterSiB-(Granodiorite,Tonalite)"
20,SiInSilikateinterm.,SiIn,Silikatgesteineintermediaer,I,I,I,3,Si,9,Si,1,1,silikatisches Festgestein,1,"intermediaereGneise,(Glimmer-)SchieferundPhyllite(Biotit-,Muskovit-,Chlorit-,Serizit-,Hornblende-/Diorit-/Augit-/Cordierit-/Syenit-/Granodiorit-),Gruenschiefer,Schwarzphyllit",meistbasenarmeBraunerdenbisSemipodsole
22,SiI+Silikateinterm.-reich,Sil+,Silikatgest.intermediaer-rueckstandsarm,I,I+,I,3,Si,9,Si,1,1,silikatisches Festgestein,1,"rueckstandsarme/harte,langsamverwitterndeSerizit-/Chlorit-/Gruenschiefer,Hornblende-Diorit-/Augit-/Cordierit-/Syenit-/Granodioritgneis-sonst20;Anm:mitunterSiB-(Granodiorite,Tonalite)",meistBraunerdenoderRanker
31,SiB-Silikatebasenr.-arm,SiB-,Silikatgest.basisch-rueckstandsarm,B,B-,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"Ca-/Mg-Silikat-(Plagioklas)-reiche(Meta-)Granite,GranodioriteundTonalite(BrixnerGranit)-sonst30",BasenreicheRanker(collin)-basenreicheleichte(Para)BraunerdenbisSemipodsole(Verlustlagen)
30,SiBaSilikatebasenr.,SiBa,Silikatgesteinebasisch,B,B,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"dunkleCa-undMg-reicheMagmatite(Amphibolit,Basalt,Gabbro,Basalttuff,Tephrit,Essexit,Diabas,Metadiabas,Melaphyr,Andesit?,Eklogit,inkl.Ultrabasit,Ophiolit)",basenreicheRankerundBraunerdenoderRohBoeden(SonderstandorteinFelslage)
32,SiB+Silikatebasenr.-reich,SiB+,Silikatgest.basisch-rueckstandsreich,B,B+,B,5,Si,9,Si,2,1,silikatisches Festgestein,,"rueckstandsreiche,bindigeultrabasische(mafischeAnteile>50%,keinQuarz),silikatischeSpezialgesteine(Talkschiefer)",meistbasenreicheRankeroderPararendzinen(verbraunt)bisBasenreicheBraunerden(oft+/-toxischeSonderstandorte)
