	AD	CD	CSR	DC	GD	IMS	ISR	MrD	MxD	SB	SC	SD	SGT	SSR	TG
AD		21065	0	23560	14758	2490	0	24638	10863	5668	160	12723	339223	188	11325
CD			1285	17598	9590	2785	0	683	9968	5778	540	4018	6360	0	12700
CSR				11843	0	0	5450	0	1293	630	6090	41913	763	5040	22208
DC					2473	563	728	6225	17405	9520	8500	25958	7730	1583	32848
GD						2180	0	0	3350	273	0	323	2925	0	2555
IMS							0	0	590	653	23	363	925	0	965
ISR								0	0	0	1085	4268	35	0	405
MrD									238	1170	518	585	1828	0	130
MxD										2655	1495	2723	10040	103	8850
SB											10123	109658	21838	4420	44625
SC												9715	1330	918	7815
SD													8498	8273	40915
SGT														1280	7588
SSR															2153
TG															
